	BrM1	BrM2	BrM3	BrM4	BrM5	BrM6	BrM7	BrM8	BrM9	BrM10	LT1	LT2	LT3	LT4	LT5	LT6	LT7	LT8	LT9	LT10
GPR13776	75	41	28	14	21	45	61	27	36	56	59	55	28	58	73	24	38	25	30	10
SLC18590	11	41	42	49	28	105	4	18	48	77	11	61	20	36	44	24	26	7	31	21
EGFR59342	1	6	1	0	2	1	2	1	1	3	2	3	1	1	2	5	2	0	2	5
EGFR4844	5	4	16	0	1	1	0	5	4	4	4	6	4	11	4	8	8	5	3	3
TNF934	10	17	9	7	14	4	14	4	8	2	2	1	24	5	5	2	3	5	0	5
CXCL52933	20	20	32	28	22	40	7	12	5	16	8	19	12	30	29	13	31	7	8	25
BRCA56520	29	59	70	14	40	21	67	21	36	18	39	41	47	20	75	25	45	81	63	56
MT25774	11	12	5	13	4	17	23	11	6	18	4	13	6	13	16	31	5	11	2	9
GPR6256	11	2	3	3	2	6	2	2	1	8	0	2	3	1	2	1	4	6	2	3
CD65671	16	11	10	5	5	11	7	12	1	4	7	0	4	5	10	14	8	15	8	9
MT64369	1	2	3	3	14	11	8	11	6	7	1	4	3	5	6	1	15	5	12	11
SLC21952	8	12	3	4	2	6	11	2	5	4	4	23	4	12	6	5	4	5	6	9
BRCA56605	13	16	23	13	6	16	6	11	11	8	17	12	10	15	16	14	9	9	8	19
CXCL84669	12	18	19	56	79	76	36	10	25	0	2	47	48	10	18	30	38	6	1	18
CXCL44265	11	6	17	10	1	17	14	16	20	11	45	18	10	27	41	5	14	10	5	6
TNF5372	9	7	6	0	3	2	4	1	6	11	1	11	4	0	6	5	5	0	3	5
BRCA69368	50	17	59	103	44	82	132	115	135	34	41	126	40	36	59	38	54	19	66	82
TP72932	31	13	13	27	17	56	23	12	49	42	45	16	29	10	14	95	16	29	63	19
CXCL80439	23	32	21	17	73	88	32	135	94	35	112	39	44	20	40	26	40	3	118	40
TNF30372	1	1	9	9	4	5	3	9	10	7	2	4	14	5	13	9	5	3	6	8
SLC48938	6	6	8	4	6	5	0	0	1	4	3	1	10	6	2	1	3	0	1	2
KRT98069	1	0	3	10	1	7	6	2	3	1	5	1	2	0	3	2	4	4	12	0
KRT5427	5	5	1	11	5	8	4	4	3	7	13	13	6	11	6	9	4	12	14	16
MT8485	3	3	11	11	21	2	3	0	1	3	2	5	4	3	5	30	11	19	9	4
TP48877	20	22	8	5	12	8	9	6	8	20	14	26	17	19	27	26	21	1	5	4
KRT94349	9	21	4	2	11	8	15	8	15	5	8	11	2	35	2	10	2	16	14	34
CXCL41030	0	3	12	5	3	4	1	0	3	1	1	4	7	3	1	11	7	6	6	7
IL6801	0	62	16	61	128	50	11	77	117	62	69	101	95	54	47	45	62	26	8	102
EGFR8121	10	96	7	38	21	55	26	8	49	7	94	9	44	34	51	104	21	95	28	58
MAPK90167	23	8	9	8	2	5	42	7	9	5	23	4	9	26	11	17	4	23	6	25
TP62372	17	1	6	4	3	2	18	7	16	7	8	32	10	11	27	13	23	18	14	24
HLA74177	65	14	43	37	84	50	34	63	15	8	18	33	54	31	13	128	18	67	4	20
GPR4845	47	41	53	28	124	160	80	18	28	31	129	69	38	113	39	221	12	39	80	74
TP91556	19	10	22	27	29	14	12	3	7	9	31	15	12	21	25	10	13	30	26	12
ZNF29854	2	1	2	2	6	5	9	5	6	2	6	1	2	0	2	1	5	4	8	0
MT99811	3	31	77	10	30	30	19	50	36	23	4	35	70	41	10	1	5	38	26	22
TNF20398	0	2	1	1	3	2	1	4	3	1	0	0	4	0	2	0	0	1	4	3
KRT6640	63	18	29	25	26	35	6	34	26	16	46	3	24	13	17	45	36	7	29	32
GPR93832	3	21	15	22	29	29	29	52	21	58	13	29	6	11	39	18	30	35	56	32
HLA41716	15	16	10	15	3	4	7	28	21	59	15	18	22	12	8	29	2	9	11	5
CD12908	2	7	4	0	5	3	6	3	4	4	1	0	3	0	4	3	2	5	2	7
KRT33210	415	89	353	36	172	72	21	17	102	69	138	115	226	142	145	34	167	375	103	188
MAPK87692	0	3	2	3	4	2	2	4	0	2	3	5	4	2	10	8	6	4	4	0
CD21752	5	24	10	2	19	53	69	36	26	50	51	20	8	59	19	18	36	56	45	52
ZNF69326	11	5	1	10	1	5	4	6	4	8	3	1	3	6	3	7	7	3	11	6
CD93629	19	34	12	15	12	10	10	12	6	8	7	8	27	19	5	19	9	24	14	16
HLA23347	1	3	4	6	6	14	5	2	10	2	2	0	3	7	1	0	1	2	1	5
CD11256	9	10	32	31	18	29	10	30	15	51	14	31	5	12	3	17	10	11	33	5
GPR69195	37	33	55	33	29	24	37	2	18	25	48	4	2	27	26	25	10	14	54	37
CD97400	11	22	11	32	9	1	21	6	9	12	45	37	17	11	16	8	2	19	18	22
SLC48163	9	9	7	4	10	13	11	1	4	6	7	0	3	7	0	2	2	1	9	3
HLA12669	23	101	90	46	83	34	77	73	70	32	83	44	16	17	77	47	46	24	12	14
MAPK98123	0	1	6	2	2	5	9	4	2	0	1	1	0	4	5	5	0	1	1	3
TP50372	53	25	21	161	12	22	70	37	32	11	12	47	21	36	45	16	20	25	49	8
EGFR95783	1	2	6	0	1	0	4	1	5	2	1	0	6	2	4	2	3	1	7	1
CD5196	45	71	14	51	2	54	18	30	5	12	25	36	20	29	43	13	18	29	42	32
TP85666	8	5	21	24	11	11	22	90	25	46	54	12	66	11	3	30	58	15	18	12
HLA98137	9	5	1	1	15	6	10	2	7	3	8	7	1	5	16	4	14	12	9	2
CXCL52206	14	2	3	23	4	13	16	8	9	3	21	9	2	3	1	6	22	6	22	5
MT86014	11	3	1	3	2	11	5	2	2	1	14	11	2	5	1	3	3	11	0	5
TP92510	3	3	11	12	0	0	6	4	6	14	19	7	5	7	16	2	6	16	10	4
ZNF80017	17	13	5	25	7	24	6	28	19	23	34	18	13	17	15	21	5	12	5	12
BRCA87188	9	23	35	12	51	75	16	21	41	6	10	20	37	17	21	8	30	58	11	20
EGFR71901	20	15	23	16	31	18	12	14	41	13	46	39	24	12	17	15	15	18	38	24
HLA27874	62	20	5	94	26	36	12	29	31	20	23	55	47	13	19	10	28	17	45	85
MAPK85059	50	47	51	49	55	45	75	33	61	108	35	25	35	13	29	92	138	181	56	103
SLC20264	9	23	23	15	31	36	27	16	8	13	8	22	10	12	28	30	42	4	62	8
EGFR56307	53	45	55	22	59	75	13	46	47	32	34	41	16	36	62	15	24	35	75	48
CD66175	4	12	9	6	11	1	2	9	7	20	8	1	14	4	7	9	24	7	5	8
CD96922	21	5	10	7	5	12	11	29	24	12	6	10	13	23	30	20	34	3	0	23
MYC85268	9	19	7	20	6	17	7	2	1	27	13	2	14	17	6	13	7	18	37	26
TNF24301	0	10	12	1	2	9	11	9	2	10	9	8	10	1	3	6	7	7	5	7
MYC6398	1	17	15	13	5	2	6	13	6	6	6	12	1	9	16	8	3	2	5	8
CD80582	39	90	34	90	60	13	94	37	138	113	40	41	25	18	4	61	58	59	43	46
TP14859	28	13	43	12	31	54	50	26	42	35	7	45	93	38	12	10	44	34	10	30
GPR31640	38	92	125	136	72	64	47	53	63	77	95	29	52	55	40	75	46	45	50	203
CXCL81389	3	8	2	1	3	5	1	5	4	2	7	5	1	3	10	4	8	8	1	1
SLC70467	11	5	5	27	5	5	9	3	1	5	3	10	4	4	3	9	12	0	6	2
KRT85456	3	5	5	6	4	12	7	1	10	6	3	10	2	9	8	3	0	12	7	8
MAPK89429	15	3	52	32	184	21	8	46	12	21	19	29	34	71	16	53	8	28	21	29
KRT25214	56	31	2	3	22	36	21	1	22	16	40	26	26	26	16	14	22	26	26	23
BRCA94611	23	4	11	25	4	21	14	15	10	3	12	4	11	5	46	17	21	21	10	14
EGFR20167	1	0	2	0	0	0	0	1	0	0	0	0	3	1	1	0	0	1	2	0
GPR42585	1	2	0	1	0	1	5	1	4	0	1	3	2	3	0	7	1	1	6	2
CD44051	9	5	19	2	3	12	17	21	3	19	8	14	17	19	6	3	5	8	14	35
SLC15992	27	75	30	8	24	19	48	15	33	72	21	56	39	62	8	62	88	39	14	76
TNF26582	31	41	15	13	29	31	8	20	16	46	20	52	18	17	38	34	32	50	37	47
TP79507	12	2	12	2	10	13	1	9	5	10	11	4	2	4	12	11	3	20	2	2
KRT34285	4	25	40	16	37	2	45	23	15	15	23	25	8	25	18	49	12	4	20	31
BRCA22813	17	36	80	24	51	62	43	103	87	49	19	31	22	29	11	104	14	43	31	13
EGFR58203	30	19	29	6	18	16	5	7	6	27	10	8	20	8	12	27	4	10	6	10
KRT37484	2	9	31	49	28	8	22	21	11	53	27	14	20	43	52	32	10	17	6	23
EGFR5664	16	14	11	30	29	22	14	9	58	28	73	6	13	20	24	20	25	21	27	23
EGFR95047	175	88	112	145	53	222	279	75	72	50	297	33	56	249	50	16	125	10	108	124
MAPK7045	8	10	6	7	9	5	10	15	5	1	8	21	5	26	4	11	11	4	15	8
SLC3780	10	0	5	7	2	10	0	2	1	8	5	8	1	3	2	1	13	5	1	9
MYC84952	1	3	3	3	1	0	2	0	1	2	1	1	0	1	1	0	1	1	3	2
KRT25813	1	0	1	2	0	3	2	4	1	1	2	1	1	0	1	1	2	0	7	1
TP31622	11	7	12	7	9	20	20	8	6	22	3	10	2	10	8	4	19	7	13	5
MYC96795	17	10	3	10	16	1	11	9	6	5	5	2	3	11	43	5	4	8	6	2
MAPK56561	35	76	89	94	12	33	97	36	63	91	69	71	193	143	28	38	12	94	202	58
MT67820	4	4	13	0	5	5	9	2	0	9	0	5	1	5	7	6	12	3	3	1
IL13254	13	48	29	1	14	19	20	17	12	20	1	17	5	15	8	5	18	6	5	9
ZNF31661	0	3	0	1	0	2	1	0	0	1	3	1	1	0	1	1	1	2	2	0
SLC44818	1	0	1	0	2	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1
SLC13018	17	14	43	9	20	12	12	13	6	21	29	48	41	31	9	40	29	26	34	16
MYC12382	177	66	222	125	412	239	187	99	257	49	180	119	77	165	339	149	391	195	89	149
EGFR50558	25	41	34	25	31	19	13	41	9	21	23	24	17	12	8	12	42	23	34	9
TNF21169	33	12	48	27	37	60	8	16	13	21	18	4	25	18	11	47	11	19	32	10
GPR47423	2	10	1	12	4	9	22	5	11	5	6	14	6	7	5	4	4	16	7	3
HLA38938	6	10	14	5	13	6	9	8	15	10	9	14	2	10	7	10	12	11	8	12
CD11596	4	6	5	2	5	4	6	16	11	2	18	5	6	0	1	7	9	2	3	8
BRCA65718	5	6	4	1	3	2	3	1	3	5	7	7	3	5	1	1	4	0	6	1
HLA78000	12	23	2	4	16	17	12	10	8	7	4	13	4	8	4	11	6	3	11	5
SLC10757	32	7	40	8	11	16	17	41	35	28	53	2	30	53	22	12	15	61	8	2
EGFR42361	1	14	6	6	14	7	17	23	7	6	5	4	5	12	16	18	25	18	11	23
MT95533	3	7	16	4	6	2	1	16	5	7	11	9	15	11	1	5	10	7	15	3
CXCL74094	7	4	5	6	6	4	18	1	0	6	2	3	6	8	4	4	10	5	16	11
IL24043	0	5	4	4	5	1	9	6	4	2	3	6	10	6	4	11	1	3	5	0
SLC46737	12	9	20	12	8	9	2	7	4	12	15	5	4	1	2	2	15	4	22	21
KRT27987	0	6	11	6	4	4	3	7	0	7	3	12	3	9	11	11	3	8	5	9
EGFR58740	5	7	14	15	16	12	11	8	37	16	5	1	18	2	16	17	1	31	23	10
EGFR71746	26	21	18	11	88	47	7	37	27	2	34	27	19	10	22	2	5	4	8	12
MAPK28665	28	22	22	16	122	38	85	50	20	17	55	49	94	55	42	7	36	111	118	52
TNF22754	31	58	46	29	21	12	42	33	86	13	50	14	65	10	72	26	26	38	25	25
ZNF51635	21	12	15	0	8	6	11	23	19	3	35	2	13	10	9	19	45	5	30	32
IL94358	9	0	1	10	16	7	11	25	9	16	6	10	22	5	13	11	9	1	15	2
ZNF40408	2	1	0	1	2	4	0	0	2	5	5	1	1	1	1	1	2	1	0	1
TP90371	28	44	112	95	40	167	22	140	36	131	124	63	113	38	159	5	77	23	112	19
GPR48479	17	33	32	68	37	15	61	30	6	41	24	37	14	22	7	40	7	38	18	17
SLC41052	12	18	31	10	14	15	4	14	20	14	8	15	11	24	19	23	14	4	14	0
GPR86793	5	3	7	7	9	12	5	16	5	3	12	8	6	1	5	25	22	15	7	8
CD33605	11	6	10	16	11	1	5	2	9	2	4	16	4	11	38	1	12	10	12	8
CXCL70706	9	1	0	2	1	4	0	2	6	4	2	1	3	0	3	6	0	3	6	2
EGFR17044	4	1	4	5	2	8	7	3	13	6	1	6	10	3	2	14	15	9	3	2
CD80610	3	8	7	13	17	13	22	18	28	19	9	6	27	12	9	6	24	2	39	10
TP43559	39	25	20	20	6	17	22	7	27	12	16	16	6	2	13	6	5	18	4	7
GPR49263	9	6	5	6	6	5	11	12	11	5	11	4	18	4	0	21	26	10	6	12
MAPK54328	4	2	6	5	7	2	6	1	3	10	1	0	4	5	4	4	6	1	3	8
CD60777	34	16	12	51	41	11	3	15	32	36	48	39	41	19	11	28	42	36	27	28
ZNF77053	13	3	7	2	15	5	11	8	10	6	20	7	3	7	20	9	4	0	3	5
SLC26778	8	7	5	3	0	3	0	4	9	4	16	4	2	9	3	4	2	6	1	5
MYC36274	1	1	3	1	0	0	2	0	3	3	3	1	3	3	2	0	5	0	1	0
BRCA77425	6	7	28	12	3	1	3	33	10	24	22	12	8	12	24	12	16	8	10	11
GPR3591	41	52	16	48	33	27	3	26	20	42	21	29	32	40	9	23	43	8	21	44
SLC45431	71	32	26	12	29	23	11	39	21	10	10	25	11	34	3	14	21	8	12	18
MYC56227	145	59	47	22	44	44	48	87	37	108	38	69	37	76	75	12	59	120	51	139
CXCL64147	1	17	5	3	3	22	13	10	8	12	5	1	19	2	4	4	7	9	8	7
MYC3219	10	14	3	8	28	3	3	17	16	9	5	0	8	5	9	12	3	5	8	1
ZNF30286	4	21	6	4	4	5	5	20	8	7	10	24	5	3	8	9	3	5	3	8
KRT71491	0	1	3	3	0	0	5	1	1	1	0	0	1	1	1	0	2	1	4	3
SLC35445	8	3	6	12	19	7	9	37	26	6	23	15	26	32	8	4	11	5	20	6
GPR93646	11	11	19	18	0	10	11	30	19	9	6	4	6	7	3	23	29	9	10	6
CXCL49134	30	48	167	70	119	221	62	24	23	35	29	89	61	84	18	87	22	97	235	23
CXCL71170	7	4	5	2	4	28	2	3	4	7	2	13	4	10	8	1	26	3	2	5
SLC51448	40	25	23	4	24	12	24	23	13	10	10	27	5	27	3	4	65	36	4	19
TNF13018	23	57	66	29	6	47	23	54	40	76	56	35	20	5	162	38	42	20	69	17
CXCL17855	1	1	2	9	0	4	2	1	2	2	14	1	0	0	0	4	3	7	0	0
SLC99028	204	75	148	105	112	143	56	80	103	213	168	124	161	222	145	84	129	156	47	44
HLA27381	18	15	24	22	3	2	4	8	9	5	13	17	8	14	21	6	16	11	19	8
ZNF13166	60	23	32	4	12	32	20	41	23	22	30	37	10	24	10	39	12	54	20	14
CD28888	59	125	105	21	29	26	50	155	146	107	11	37	69	41	55	36	50	66	88	123
CD66961	54	23	16	13	15	20	11	44	22	36	28	21	14	67	96	34	35	32	34	103
TNF92279	16	55	51	9	20	62	25	48	57	91	75	80	32	34	84	100	36	8	8	34
GPR15956	13	29	148	39	22	29	22	35	14	58	76	33	38	59	13	12	17	43	16	44
MT48606	19	0	40	21	39	72	26	16	27	10	19	23	35	19	14	32	25	28	58	28
CD26706	6	9	8	1	2	12	3	6	4	18	3	2	13	49	3	12	1	14	6	19
HLA26123	7	2	2	9	7	4	5	9	7	0	1	11	7	9	4	11	2	4	2	0
CXCL77176	4	21	5	16	55	27	12	11	5	6	10	22	8	3	12	6	6	0	41	3
BRCA82410	18	37	3	29	29	9	11	34	28	12	3	31	15	18	20	5	6	10	29	10
CD9213	5	15	5	2	8	4	1	9	1	3	3	4	9	1	4	4	13	12	0	8
SLC34553	19	4	12	4	2	2	2	1	3	2	1	3	2	4	0	0	3	6	5	3
TNF13603	10	3	0	8	3	5	8	12	3	2	1	2	7	4	6	6	3	6	5	7
IL71819	103	111	112	116	154	275	331	92	194	334	222	82	39	258	65	80	93	153	133	153
TNF99535	4	13	21	8	15	11	10	1	3	10	7	2	11	1	1	6	1	6	5	10
TP89134	0	0	0	0	2	3	5	9	3	6	5	6	3	6	8	0	0	16	0	9
KRT9873	5	11	9	17	5	15	18	3	5	6	9	6	19	11	6	20	10	6	15	9
MAPK4994	9	1	12	3	1	4	12	21	4	3	8	9	6	1	8	8	6	1	2	7
HLA277	4	2	4	3	3	1	1	3	8	8	1	1	3	2	2	10	4	6	9	13
MT96410	67	66	20	36	45	14	43	57	84	49	50	18	48	42	47	24	8	43	36	65
HLA60574	11	12	12	23	1	14	8	17	4	17	3	12	7	6	9	9	6	9	6	21
KRT48635	2	1	6	3	9	5	2	0	0	1	0	0	5	2	3	6	1	5	1	2
BRCA63478	11	1	6	6	9	2	2	8	1	3	0	1	3	2	2	8	8	0	1	0
MT90201	4	5	13	7	3	4	4	4	4	6	5	14	0	0	2	0	5	4	5	2
HLA14029	13	21	15	5	21	5	36	26	8	20	11	13	21	34	41	14	10	5	11	13
IL79141	35	13	2	3	14	9	11	6	22	5	1	15	15	5	15	3	20	7	25	14
EGFR19589	128	17	57	55	9	6	21	51	41	62	37	91	32	82	64	74	19	44	32	52
MYC8504	1	11	18	1	1	3	3	4	5	2	4	7	4	7	7	1	9	6	3	2
BRCA80017	32	3	17	14	5	1	14	3	8	1	6	2	7	8	9	10	5	10	12	2
MYC80882	3	22	44	27	15	72	44	29	24	62	13	16	17	37	20	5	20	16	48	16
KRT71099	13	6	7	3	3	0	15	13	7	11	1	2	8	5	14	2	7	5	10	4
CXCL6848	9	12	11	10	2	1	3	18	4	14	1	10	5	9	13	1	24	12	10	8
MYC47623	1	6	7	9	0	2	1	1	8	5	0	5	5	7	1	4	7	5	7	14
MYC30857	8	0	5	2	3	5	2	5	7	2	9	4	1	4	2	2	4	2	2	7
ZNF49	30	63	47	140	57	86	93	23	62	21	16	10	9	17	107	63	87	68	24	30
HLA52205	5	4	10	21	9	6	23	5	10	14	5	11	10	17	10	4	23	9	1	9
MYC74366	7	10	9	4	4	3	8	11	13	4	7	11	7	23	2	6	3	9	2	3
SLC79634	0	1	0	1	0	0	3	0	0	1	0	0	0	2	0	2	2	1	4	0
CXCL71842	19	22	22	9	46	3	15	22	28	23	15	21	1	33	18	12	23	11	36	43
CXCL17865	53	14	30	40	79	3	31	18	31	43	13	28	6	12	2	13	19	4	16	12
SLC94589	12	3	6	25	2	7	17	10	8	9	2	4	3	6	8	5	9	18	12	19
CXCL67648	4	32	52	46	26	30	20	30	8	11	77	61	35	11	49	16	6	40	29	79
TNF41698	3	1	1	3	1	0	0	2	10	1	7	0	4	3	6	1	0	0	6	3
IL66154	4	12	23	32	75	35	16	18	22	24	16	29	33	6	48	26	7	33	9	80
IL16401	0	4	0	1	1	9	4	1	4	4	5	5	3	4	2	8	4	8	11	1
TP81229	8	14	7	40	23	24	6	15	30	6	73	2	18	1	17	13	5	29	25	25
TNF10108	3	5	33	8	14	3	14	21	3	6	17	13	6	11	12	8	0	18	10	5
CXCL92403	30	9	5	6	7	9	31	14	2	28	22	14	32	7	25	7	7	5	25	12
KRT9546	15	22	9	16	46	5	15	9	7	15	5	22	20	23	12	13	10	4	17	4
MYC28776	2	8	11	7	18	10	6	7	9	20	3	25	22	36	5	4	15	5	27	3
TNF73705	33	37	19	36	35	86	11	29	25	46	20	15	57	35	19	15	34	16	18	11
MYC62616	38	95	90	43	38	88	36	48	54	39	41	37	35	51	15	45	84	77	36	91
TNF55399	5	21	29	50	4	21	37	5	15	16	18	24	5	27	20	11	36	18	16	63
EGFR68154	14	9	3	13	10	5	10	27	10	8	27	56	33	8	18	44	37	12	40	12
HLA45962	31	17	8	10	9	13	29	27	14	6	23	13	32	14	16	1	11	22	16	6
MT8162	1	2	0	0	0	0	0	2	1	0	3	1	2	2	1	1	0	4	1	0
MAPK66858	3	0	3	9	5	5	4	5	6	8	12	6	13	10	11	20	6	7	9	2
IL54534	16	14	22	10	16	15	6	13	15	9	11	13	5	6	17	21	7	9	10	24
CD42818	7	3	5	13	8	28	11	5	6	17	11	33	3	11	10	5	9	20	36	1
TP44381	3	4	12	6	5	3	12	9	3	10	3	4	16	6	7	2	5	4	11	7
CXCL64666	1	0	0	0	0	1	1	0	2	1	1	0	1	1	4	0	3	4	1	0
TP40605	151	68	32	63	100	62	9	223	20	23	25	96	49	98	46	48	64	163	51	140
EGFR23677	77	14	33	1	28	4	13	29	40	21	30	27	17	41	18	14	9	8	10	60
ZNF280	0	2	5	2	2	3	1	1	1	2	0	1	0	0	3	6	0	0	3	3
ZNF64265	1	2	1	0	0	6	6	2	2	1	0	2	1	6	1	0	1	1	2	6
MAPK32665	6	6	15	26	4	15	9	6	21	7	11	19	17	3	8	4	9	4	17	10
CD34530	14	25	8	9	8	4	7	18	36	39	16	18	14	14	16	28	21	3	17	25
CD98380	59	33	37	47	30	64	67	41	91	72	23	24	15	44	63	38	30	94	40	20
MAPK63424	16	12	8	13	13	9	7	15	2	22	6	9	21	12	13	20	11	13	20	12
EGFR47549	118	35	46	30	43	60	63	11	14	59	18	106	10	64	50	62	41	55	42	108
GPR14955	28	12	4	3	7	12	7	4	6	8	11	7	10	10	6	8	8	7	7	0
MYC69487	18	14	20	25	38	22	5	16	8	17	29	4	4	24	50	13	15	20	16	7
EGFR10962	6	2	1	4	5	5	2	2	6	6	1	4	2	1	0	2	0	4	2	3
EGFR43754	18	5	27	29	23	41	31	39	47	13	58	27	40	56	8	12	16	31	91	66
TNF84286	38	20	70	41	33	27	31	31	16	45	8	21	21	33	17	15	43	38	17	58
TNF32191	16	9	11	11	16	8	11	1	7	1	4	13	6	19	25	3	10	18	20	4
IL15899	23	14	11	30	11	53	4	8	5	9	10	7	17	26	20	6	14	10	14	6
IL5154	4	6	5	1	0	4	0	2	4	6	1	3	4	7	3	3	12	5	6	7
MT61480	25	5	31	30	34	13	37	23	16	18	16	16	4	28	12	22	21	14	19	14
CXCL27383	22	82	54	80	14	113	132	50	148	28	20	38	126	101	85	35	26	50	26	43
CD30744	2	1	1	4	4	2	6	4	4	2	0	3	7	4	13	2	6	2	6	3
CD60446	1	4	3	1	3	5	4	11	5	8	1	3	2	9	1	8	5	2	4	6
EGFR92031	2	17	17	18	12	4	5	6	16	38	30	5	34	20	29	10	34	48	12	18
ZNF23811	3	11	3	1	3	4	6	6	2	3	0	1	4	5	2	1	7	9	5	2
CXCL99825	19	16	18	39	10	16	6	15	7	16	8	15	23	23	28	10	33	5	9	14
TNF23931	4	2	1	1	10	2	4	2	6	2	4	3	10	1	8	14	5	8	2	6
MYC55175	1	3	4	8	2	0	6	3	7	3	6	6	1	2	4	5	3	4	4	2
TP87425	13	81	8	127	62	8	38	117	36	93	113	101	81	22	29	65	16	68	57	34
ZNF30847	10	13	16	22	25	23	2	23	24	24	42	12	18	21	11	4	10	20	38	35
HLA38772	22	36	17	27	24	13	29	12	16	65	30	19	18	9	53	61	12	11	19	18
SLC21684	30	32	75	38	98	32	128	73	31	17	14	88	61	11	95	67	113	29	28	83
MAPK96670	6	3	9	2	5	8	2	3	0	13	7	10	2	12	4	1	2	6	8	21
SLC21452	9	5	7	3	6	2	6	11	5	3	4	7	5	6	6	2	6	3	1	4
ZNF24469	9	54	43	31	43	52	59	18	12	76	43	20	66	27	56	25	17	15	17	11
EGFR85348	23	23	12	10	34	13	23	14	34	19	74	23	51	1	13	33	55	4	53	21
TNF53163	7	8	5	3	1	3	1	7	3	7	0	1	5	0	18	7	7	5	12	2
CXCL59224	7	5	5	8	5	7	7	3	5	3	8	0	1	2	0	8	5	5	15	9
CXCL59109	5	5	5	9	12	3	3	4	18	12	2	2	3	3	11	2	4	17	7	20
KRT55555	144	351	11	259	138	132	124	143	208	144	126	48	51	207	107	116	95	36	156	220
BRCA93143	14	5	12	23	9	7	22	4	36	23	38	3	16	19	36	11	23	34	26	34
CXCL69571	1	4	8	6	2	0	7	8	2	5	5	0	7	2	3	6	13	1	1	1
CXCL34883	2	2	2	2	0	1	6	1	3	3	0	2	2	0	7	1	1	2	2	0
TP43175	15	4	5	16	28	19	25	23	24	38	12	3	6	21	30	18	4	1	16	29
GPR76423	4	3	8	25	19	2	21	12	11	23	16	2	29	11	10	9	4	11	2	11
EGFR64018	6	9	76	46	106	46	81	45	8	47	32	48	26	34	31	53	108	76	39	10
SLC67318	69	78	14	13	29	3	7	65	3	19	30	18	65	28	34	17	34	63	38	15
EGFR26511	1	3	0	2	1	2	0	4	0	0	1	1	0	0	3	2	3	2	0	1
MYC7901	49	98	66	113	4	265	123	126	120	51	46	59	47	59	97	76	46	56	40	17
IL862	8	18	17	10	22	6	2	10	8	13	2	12	6	7	12	7	5	7	4	16
GPR98140	4	1	2	3	6	2	6	4	10	7	2	3	1	2	3	0	4	7	3	3
KRT44789	23	10	20	11	68	39	11	11	26	44	47	35	56	20	28	80	21	49	39	23
TP21402	1	2	4	4	17	0	4	1	5	5	8	2	2	0	6	5	0	2	12	2
IL8329	1	2	7	4	2	2	7	9	7	0	1	1	2	3	10	2	1	2	2	1
BRCA83640	5	9	10	8	2	3	3	3	20	10	11	4	9	7	11	7	9	13	0	0
MAPK16481	35	30	12	27	25	18	57	14	43	12	20	40	11	51	34	14	32	46	35	34
GPR70439	0	11	3	6	10	2	6	7	10	5	1	3	11	1	8	12	3	1	3	1
BRCA61051	8	0	4	3	8	4	5	0	4	1	6	2	4	4	4	0	4	3	5	3
HLA22972	41	76	37	322	135	126	28	67	93	116	63	44	30	106	72	107	69	22	58	80
CD50483	78	140	51	107	81	50	130	6	115	76	18	52	153	85	57	70	39	40	25	40
TNF66278	6	35	15	9	10	31	10	21	9	52	12	29	13	37	27	16	23	14	24	33
TP57827	8	5	16	16	7	2	10	4	12	12	4	3	6	8	3	10	10	16	4	12
IL16206	7	5	1	5	1	4	0	4	1	2	5	4	3	1	5	6	21	2	9	0
CXCL24811	20	15	9	14	7	3	38	15	21	41	6	38	15	30	18	13	26	31	8	13
HLA25710	12	10	13	2	9	10	15	6	5	5	5	9	21	2	3	11	9	9	6	9
GPR81419	1	11	7	5	16	8	24	14	8	4	11	13	4	7	12	13	18	12	7	9
GPR15213	43	13	40	117	46	33	35	26	52	7	29	12	21	37	86	55	47	29	60	55
IL85931	1	8	3	5	7	4	5	5	4	5	1	3	2	1	2	2	0	1	1	9
KRT8294	27	6	9	9	2	13	1	20	16	11	3	11	8	20	3	9	5	15	7	39
MAPK14828	23	4	48	19	11	10	36	42	12	6	9	26	9	25	8	3	7	5	13	22
MYC74670	7	8	21	20	32	14	22	7	4	10	6	21	5	18	11	18	4	7	7	13
MAPK79320	5	4	6	1	9	3	6	5	3	4	4	3	1	12	1	2	2	4	3	3
CD41797	17	3	1	8	38	7	13	3	7	26	1	7	6	17	3	28	5	6	13	10
HLA27073	1	2	1	3	1	3	2	0	0	1	4	4	1	6	6	2	0	4	6	0
CXCL34128	34	27	43	90	38	72	70	45	43	39	62	30	48	65	57	71	8	40	35	88
EGFR69840	38	44	51	29	10	30	11	59	47	29	35	7	44	24	60	58	15	40	11	13
CD54914	8	6	6	7	3	3	2	4	19	6	1	9	16	13	37	9	15	5	22	6
HLA72683	2	1	2	0	0	7	4	8	0	4	6	7	2	13	7	5	11	11	5	1
CD95012	15	4	53	25	11	10	42	60	4	18	16	12	15	25	61	21	18	25	26	25
MT50732	18	36	40	18	42	80	23	54	58	24	23	34	52	0	57	52	31	30	20	44
EGFR32064	1	1	0	1	3	2	1	3	0	1	2	1	1	1	1	2	1	0	1	0
MAPK39663	89	66	11	101	156	12	14	112	54	53	26	65	108	41	48	49	37	85	89	40
